;Job Title;min_salary;max_salary;Rating;Company Name;python;excel;hadoop;spark;aws;tableau;big_data
38;Senior Analyst/Data Scientist;75;131;3.4;Edmunds.com;1;1;0;0;1;1;0
39;Data Analyst;75;131;3.1;Cambridge Associates, LLC;1;1;0;0;0;0;0
40;Machine Learning Engineer;75;131;3.4;Liberty Mutual Insurance;1;1;0;1;1;0;1
41;Data Analyst I;75;131;2.6;Cenlar;0;0;0;0;0;0;0
42;Scientist - Molecular Biology;75;131;5.0;Arsenal Biosciences;0;0;0;0;0;0;0
43;Data Scientist;75;131;4.2;Eversight;1;0;0;0;0;0;0
44;Computational Scientist, Machine Learning;75;131;4.1;Pfizer;1;1;0;0;1;0;0
45;Senior Data Scientist;75;131;4.8;Klaviyo;0;0;0;0;0;0;0
46;Data Scientist;75;131;3.3;Intellectual Ventures;1;1;0;0;0;0;0
47;Data Scientist;75;131;3.7;GovTech;1;1;0;0;0;1;0
48;Data Scientist;75;131;4.3;Quick Base;1;1;0;0;0;1;0
49;Data Analyst;75;131;4.8;Giving Assistant;1;1;0;0;0;1;0
50;Data Scientist;75;131;3.7;Takeda;1;0;0;1;0;0;0
51;Data Scientist;75;131;4.0;Netskope;1;1;0;1;0;0;1
52;E-Commerce Data Analyst;75;131;3.5;iSeatz;0;1;0;0;0;0;0
53;Data Analytics Engineer;75;131;3.7;Summa Health System;0;1;0;0;1;1;0
54;Senior Data Scientist;75;131;3.5;Benson Hill;1;1;0;0;0;0;1
55;Product Data Scientist - Ads Data Science;75;131;4.1;Twitter;1;0;0;0;0;0;0
56;Data Scientist;75;131;3.2;Postmates - Corporate HQ;1;0;0;1;0;0;0
57;Data Scientist - Intermediate;75;131;4.5;Envision LLC;1;1;0;0;0;0;0
58;Data Analyst;75;131;3.8;Swiss Re;1;1;0;0;0;0;0
59;Machine Learning Engineer;75;131;4.5;Systems & Technology Research;1;1;0;0;0;0;0
60;Data Scientist;79;131;3.5;iRobot;1;0;0;0;0;0;0
61;Data Scientist;79;131;4.2;HG Insights;1;1;1;1;0;0;0
62;Global Data Analyst;79;131;3.8;Dermalogica;0;1;0;0;0;1;0
63;Data Engineer;79;131;3.7;Bayview Asset Management;1;0;0;0;0;0;0
64;DATA SCIENTIST;79;131;3.7;Via Transportation;1;0;0;0;0;1;0
65;Data Scientist;79;131;4.0;Grid Dynamics;1;1;0;0;0;1;1
66;Data & Machine Learning Scientist;79;131;3.3;Tempus Labs;1;0;0;0;1;0;0
67;Data Scientist - Machine Learning;79;131;2.5;CareDx;1;1;0;1;0;0;0
68;Data Engineer (Remote);79;131;4.2;IZEA;1;1;1;1;1;0;0
69;Data Scientist, Applied Machine Learning - Bay Area;79;131;3.3;Tempus Labs;1;0;0;0;1;0;0
70;Principal Data Scientist;79;131;4.0;Autodesk;1;1;1;1;1;0;1
71;Business Data Analyst;79;131;3.7;Caterpillar;0;1;0;0;0;1;0
72;Purification Scientist;79;131;4.9;New England Biolabs;0;0;0;0;0;0;0
73;Data Analyst;79;131;3.4;Allied Solutions;1;1;0;0;0;1;0
74;Data Engineer, Enterprise Analytics;79;131;3.1;Healthfirst;1;1;0;0;0;0;1
75;Data Scientist;79;131;3.5;The Knot Worldwide;1;0;0;1;1;0;0
76;Data Scientist;79;131;2.9;IFG Companies;1;0;0;0;0;0;0
77;Data Scientist 3 (718);79;131;3.3;Amyris;1;0;0;0;1;0;0
78;Real World Science, Data Scientist;79;131;4.0;AstraZeneca;1;0;1;0;0;0;0
79;Data Scientist;79;131;3.6;Powertek;0;0;0;0;0;0;0
80;Data Engineer;79;131;4.7;Object Partners;0;0;1;1;1;0;1
81;Data Scientist - Image and Video Analytics;79;131;4.9;The Mom Project;1;0;1;1;1;0;0
82;Data Scientist;79;131;4.3;Lightspeed Systems;1;0;0;1;1;0;0
